model,dataset,n_questions,n_prompt_variants,Accuracy (%),Conditional Accuracy (%),Answer Recovery (%),Instruction Compliance (%),Question Majority Accuracy (%),Agreement (%),Prompt Sensitivity (%),Answer Unanimous Rate (%),Prompt-Invariant Incorrect Rate (%)
qwen2.5:0.5b,arc_challenge,200,,40.0,42.3,94.6,72.3,45.5,78.3,21.7,27.0,12.0
qwen2.5:0.5b,sciq,200,,72.3,72.6,99.6,64.6,75.5,89.1,10.8,63.0,7.5
qwen2.5:3b,arc_challenge,200,,78.0,78.0,100.0,99.0,79.0,95.5,4.5,85.5,14.5
qwen2.5:3b,sciq,200,,90.9,90.9,100.0,98.3,91.5,98.6,1.4,95.5,7.0
llama3.2:3b,arc_challenge,200,,69.0,69.1,99.8,91.3,71.0,93.0,7.0,73.5,17.0
llama3.2:3b,sciq,200,,88.4,88.8,99.6,97.1,89.5,97.9,2.1,92.0,7.5
gemma3:4b,arc_challenge,200,,73.8,73.8,100.0,100.0,73.0,94.3,5.7,79.0,13.5
gemma3:4b,sciq,200,,88.5,88.6,99.9,99.9,89.5,97.4,2.6,91.5,7.0
phi4-mini:latest,arc_challenge,200,,80.8,81.6,99.0,10.1,79.5,94.3,5.7,81.5,9.0
phi4-mini:latest,sciq,200,,93.1,93.3,99.8,10.9,93.5,98.0,2.0,92.5,3.5
mistral:7b,arc_challenge,200,,73.1,73.1,100.0,23.8,73.5,93.6,6.4,78.5,15.5
mistral:7b,sciq,200,,86.5,86.7,99.8,26.2,87.0,97.3,2.7,89.5,8.0
llama3.2:3b,sciq,200,,89.1,89.8,99.2,95.2,90.0,98.1,1.9,91.5,6.0
llama3.2:3b,arc_challenge,200,,53.2,65.0,81.9,74.8,54.0,76.0,24.0,58.0,14.5
llama3.2:3b,sciq,200,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
gemma3:4b,arc_challenge,200,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
gemma3:4b,sciq,200,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
llama3.2:3b,arc_challenge,200,,52.4,64.6,81.1,74.0,53.0,75.0,25.0,57.0,14.5
llama3.2:3b,sciq,200,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
